"","region","c_b","gro","ocr","osd","pdr","pfb","v_f","wht"
"1","aus",2.01,28.34,7.7,10.18,0.04,1.41,2.16,48.17
"2","xoc",2.63,0.41,2.08,14.97,0.26,8.43,71.21,0.01
"3","chn",0.92,23.82,2.3,11.93,16.26,4.49,27.35,12.94
"4","jpn",0.74,2.14,1.62,5.25,53.33,3.37,26.24,7.32
"5","kor",2.16,4.19,3.41,4.34,49.89,0.17,35.56,0.27
"6","xea",NA,24.59,15.37,5.4,15.44,0.65,27.18,11.37
"7","mys",2.14,0.1,0.29,84.96,9.23,0.22,3.06,NA
"8","phl",2.63,16.75,0.71,2.11,30.95,0.21,46.64,NA
"9","tha",8.94,5.61,1.39,20.72,47.3,0.15,15.88,0.01
"10","vnm",1.68,7.14,4.21,6.83,53.73,0.84,25.57,NA
"11","idn",0.94,13.54,2.28,41.15,22.55,3.62,15.92,NA
"12","xse",1.04,5.49,23.34,9.62,45.79,1.14,13.33,0.25
"13","ind",2.6,11.07,15.11,11.92,21.88,8.38,14.39,14.65
"14","xsa",2.19,10.88,4.52,3.1,28.1,4.91,14.19,32.11
"15","can",0.02,18.41,11.64,36.72,NA,0.04,1.3,31.86
"16","usa",0.39,38.25,1.43,34.09,1.05,5.44,3.55,15.81
"17","mex",5.27,55.19,9.49,2.26,0.25,1.74,21.96,3.84
"18","bra",12.52,23.8,4.56,44.92,2.1,2.72,6.8,2.58
"19","xsm",3.53,22.5,4.33,37.64,4.1,2.36,15.42,10.12
"20","fra",0.08,29.16,2.42,15.01,0.11,3.29,11.27,38.66
"21","deu",0.06,38.49,2,10.8,0,4.84,6.84,36.96
"22","gbr",NA,31.33,4.02,12.43,NA,2.44,8.8,40.98
"23","rus",0.11,23.6,3.42,21.97,0.3,1.8,5.14,43.66
"24","e25",0.39,33.35,2.44,18.56,0.76,1.37,17.55,25.58
"25","xsu",0.07,24.71,2.22,21.16,0.63,4.02,9.07,38.12
"26","xer",0.09,35.5,1.67,24.38,0.28,0.52,11.76,25.78
"27","xws",0.21,26.99,5.98,9.64,0.9,3.39,18.03,34.86
"28","xnf",0.54,35.43,14.58,16.66,1.95,2.76,11.59,16.48
"29","ssa",0.9,32.38,19.34,10.46,6.64,6.45,22.71,1.12
"30","xtw",0.92,11.54,1.89,2.39,28.64,1.25,48.34,5.04
